mhs_nrp,keg_kode
217170379,KER0091
217170387,KER0091
217170391,KER0091
217180387,KER0091
217180390,KER0091
218116674,KER0091
218116679,KER0091
218116682,KER0091
218116684,KER0091
218116687,KER0091
218116691,KER0091
218116694,KER0091
218116696,KER0091
218116699,KER0091
218116704,KER0091
218116707,KER0091
218116709,KER0091
218116719,KER0091
218116721,KER0091
218116726,KER0091
218116731,KER0091
218116747,KER0091
218116750,KER0091
218116751,KER0091
218116754,KER0091
218116759,KER0091
218116761,KER0091
218116764,KER0091
218116769,KER0091
218120677,KER0091
218140082,KER0091
218170403,KER0091
218170412,KER0091
218170424,KER0091
218170440,KER0091
218170447,KER0091
218170448,KER0091
218170451,KER0091
218180413,KER0091
218180414,KER0091
218180417,KER0091
218180422,KER0091
218180427,KER0091
218180433,KER0091
218180436,KER0091
218180441,KER0091
216011660,KER0092
216170304,KER0092
217170357,KER0092
217180391,KER0092
217180396,KER0092
217180402,KER0092
214116360,KER0093
216116493,KER0093
217116604,KER0093
217116659,KER0093
217116661,KER0093
217170365,KER0093
218116683,KER0093
218116697,KER0093
218116722,KER0093
218116738,KER0093
218116745,KER0093
218116755,KER0093
218116756,KER0093
218116772,KER0093
218170404,KER0093
218170410,KER0093
218170416,KER0093
218170449,KER0093
218170452,KER0093
218180424,KER0093
218180430,KER0093
216116493,KER0094
216116513,KER0094
216116534,KER0094
217102589,KER0094
217102595,KER0094
217116594,KER0094
217116627,KER0094
217116636,KER0094
217116650,KER0094
217116659,KER0094
217116661,KER0094
217116662,KER0094
217170350,KER0094
217170365,KER0094
217170372,KER0094
217170373,KER0094
217170389,KER0094
217170392,KER0094
217170394,KER0094
218116683,KER0094
218116697,KER0094
218116708,KER0094
218116722,KER0094
218116738,KER0094
218116745,KER0094
218116755,KER0094
218116756,KER0094
218116772,KER0094
218140085,KER0094
218170405,KER0094
218170406,KER0094
218170408,KER0094
218170410,KER0094
218170416,KER0094
218170449,KER0094
218170452,KER0094
218180424,KER0094
218180430,KER0094
218180437,KER0094
215170272,KER0095
216011661,KER0095
216102583,KER0095
216102586,KER0095
216102587,KER0095
216116542,KER0095
216116545,KER0095
216116549,KER0095
216120642,KER0095
216120657,KER0095
216170320,KER0095
216170325,KER0095
216170327,KER0095
216170332,KER0095
217011672,KER0095
217011674,KER0095
217011675,KER0095
217116641,KER0095
217120664,KER0095
217120667,KER0095
217120668,KER0095
217120670,KER0095
217120672,KER0095
217170384,KER0095
217180382,KER0095
217180401,KER0095
218116700,KER0095
218116718,KER0095
218116729,KER0095
218116733,KER0095
218116734,KER0095
218116744,KER0095
218116748,KER0095
218116766,KER0095
218120674,KER0095
218120675,KER0095
218120678,KER0095
218120681,KER0095
218140081,KER0095
218140084,KER0095
218170417,KER0095
218170420,KER0095
218170421,KER0095
218170423,KER0095
218170443,KER0095
218170446,KER0095
218180412,KER0095
218180431,KER0095
214116299,KER0096
214170231,KER0096
214170232,KER0096
214170251,KER0096
215116415,KER0096
215116483,KER0096
215120622,KER0096
215140058,KER0096
215170264,KER0096
215170274,KER0096
215180350,KER0096
215180352,KER0096
215180357,KER0096
215180362,KER0096
216011660,KER0096
216116518,KER0096
216116537,KER0096
216116540,KER0096
216116550,KER0096
216116556,KER0096
216116563,KER0096
216120641,KER0096
216120658,KER0096
216140062,KER0096
216140064,KER0096
216140066,KER0096
216140069,KER0096
216170293,KER0096
216170304,KER0096
216170305,KER0096
216170311,KER0096
216170313,KER0096
216170318,KER0096
216170331,KER0096
216170336,KER0096
216180370,KER0096
216180372,KER0096
216180373,KER0096
217116565,KER0096
217116570,KER0096
217116575,KER0096
217116576,KER0096
217116580,KER0096
217116592,KER0096
217116608,KER0096
217116611,KER0096
217116616,KER0096
217116617,KER0096
217116628,KER0096
217116631,KER0096
217116632,KER0096
217116634,KER0096
217116637,KER0096
217116638,KER0096
217116646,KER0096
217116649,KER0096
217116655,KER0096
217116660,KER0096
217116664,KER0096
217116666,KER0096
217116670,KER0096
217140080,KER0096
217170351,KER0096
217170356,KER0096
217170357,KER0096
217170360,KER0096
217170367,KER0096
217170369,KER0096
217170378,KER0096
217170381,KER0096
217170395,KER0096
217170397,KER0096
217180379,KER0096
217180381,KER0096
217180391,KER0096
217180396,KER0096
217180402,KER0096
217180404,KER0096
218102597,KER0096
218102598,KER0096
218116675,KER0096
218116676,KER0096
218116678,KER0096
218116681,KER0096
218116685,KER0096
218116688,KER0096
218116689,KER0096
218116692,KER0096
218116693,KER0096
218116695,KER0096
218116701,KER0096
218116705,KER0096
218116706,KER0096
218116710,KER0096
218116711,KER0096
218116716,KER0096
218116717,KER0096
218116724,KER0096
218116725,KER0096
218116728,KER0096
218116730,KER0096
218116732,KER0096
218116736,KER0096
218116739,KER0096
218116740,KER0096
218116741,KER0096
218116743,KER0096
218116752,KER0096
218116753,KER0096
218116758,KER0096
218116760,KER0096
218116762,KER0096
218116765,KER0096
218116768,KER0096
218116770,KER0096
218116771,KER0096
218116773,KER0096
218116775,KER0096
218116776,KER0096
218120680,KER0096
218140086,KER0096
218140087,KER0096
218170399,KER0096
218170402,KER0096
218170404,KER0096
218170407,KER0096
218170409,KER0096
218170411,KER0096
218170414,KER0096
218170415,KER0096
218170419,KER0096
218170422,KER0096
218170425,KER0096
218170426,KER0096
218170427,KER0096
218170428,KER0096
218170430,KER0096
218170431,KER0096
218170432,KER0096
218170434,KER0096
218170435,KER0096
218170436,KER0096
218170437,KER0096
218170440,KER0096
218170444,KER0096
218170445,KER0096
218170450,KER0096
218180411,KER0096
218180415,KER0096
218180416,KER0096
218180418,KER0096
218180421,KER0096
218180425,KER0096
218180428,KER0096
218180429,KER0096
218180435,KER0096
218180440,KER0096
218180442,KER0096
218180443,KER0096
218180444,KER0096
214116286,KER0097
215116408,KER0097
215116414,KER0097
215116417,KER0097
215116418,KER0097
215116431,KER0097
215116441,KER0097
215116450,KER0097
215116471,KER0097
215120628,KER0097
215120631,KER0097
215170279,KER0097
215170290,KER0097
216116496,KER0097
216116499,KER0097
216116508,KER0097
216116516,KER0097
216116519,KER0097
216116521,KER0097
216116526,KER0097
216116543,KER0097
216170321,KER0097
216170347,KER0097
216180377,KER0097
217116567,KER0097
217116577,KER0097
217116583,KER0097
